Ledger,Account,Period,Transaction Date,Journal,Line No.,Base Amt,Signal Base Amt,Debit Credit marker,Reference,Description,Journal Type,Journal Source,Other Amt,Signal Other Amt,Conversion Code,Rate,TCode 0,TCode 1,TCode 2,TCode 3,TCode 4,TCode 5,TCode 6,TCode 7,TCode 8,TCode 9,Alloc Ind.,Alloc Ref.,Alloc Period,Alloc Date,Asset Indicator,Asset Code,Asset Sub-code,Entry Date,Entry Period,Due Date,Entry OP,Post OP,Amend Op,Rough Book
A,1113100000,2015002,1/2/2015,26320,1,"255.079,78","-255.079,78",C,0000121128,RECLASS TRFCCC 0910.08387,TRCON,NPM,,,,,,,,,,B00003410084003,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26320,3,"40.296,28","-40.296,28",C,0000121205,RECLASS TRFCCC 0910.08387,TRCON,NPM,,,,,,,,,,B00003410084003,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26320,5,"35.760,89","-35.760,89",C,0000121203,RECLASS TRFCCC 0910.08387,TRCON,NPM,,,,,,,,,,B00003410084003,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26320,7,"14.869,13","-14.869,13",C,0000121204,RECLASS TRFCCC 0910.08387,TRCON,NPM,,,,,,,,,,B00003410084003,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26320,9,"54,75","54,75",D,0000120330,RECLASS TRFCCC 0910.08387,TRCON,NPM,,,,,,,,,,B00003410084003,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26320,11,"212,83","212,83",D,0000120801,RECLASS TRFCCC 0910.08387,TRCON,NPM,,,,,,,,,,B00003410084003,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26320,13,"10.068,10","10.068,10",D,0000130618,RECLASS TRFCCC 0910.08387,TRCON,NPM,,,,,,,,,,B00003410084003,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,10,"477.849,26","-477.849,26",C,0000150129,REVER LIQUIDACAO DE COBRA,TRCON,NPM,,,,,,,,,,B00002370506907,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,13,"367.119,54","-367.119,54",C,0000150128,REVER LIQUIDACAO DE COBRA,TRCON,NPM,,,,,,,,,,B00002370506907,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,32,"91.454,28","-91.454,28",C,0000150128,REVER REPASSE DEB AUT,TRCON,NPM,,,,,,,,,,B00003990004251,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,33,"84.172,13","-84.172,13",C,0000150129,REVER REPASSE DEB AUT,TRCON,NPM,,,,,,,,,,B00003990004251,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,38,"58.639,28","-58.639,28",C,0000150130,REVER REPASSE DEB AUT,TRCON,NPM,,,,,,,,,,B00003990004251,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,39,"58.542,45","-58.542,45",C,0000150128,REVER REPASSE DEB AUT,TRCON,NPM,,,,,,,,,,B00003990032525,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,44,"46.528,88","-46.528,88",C,0000150130,REVER LIQUIDACAO DE COBRA,TRCON,NPM,,,,,,,,,,B00002370506907,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,48,"30.087,38","-30.087,38",C,0000150129,REVER REPASSE DEB AUT,TRCON,NPM,,,,,,,,,,B00003990032525,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,52,"16.133,64","-16.133,64",C,0000150130,REVER REPASSE DEB AUT,TRCON,NPM,,,,,,,,,,B00003990032525,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,53,"10.616,73","-10.616,73",C,0000150129,REVER CNR DINHEIRO,TRCON,NPM,,,,,,,,,,B00003990004251,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
A,1113100000,2015002,1/2/2015,26331,57,"8.334,37","-8.334,37",C,0000150128,REVER CNR DINHEIRO,TRCON,NPM,,,,,,,,,,B00003990004251,,,,,,,,, ,,,6/3/2015,2015002,1/2/2015,,,,
